id,run,condition,aversiveness,control,helplessness,stress
43,2,noc,70,20,75,60
43,3,noc,60,35,65,55
43,4,noc,70,50,50,70
43,1,bas,NA,NA,NA,0
43,2,bas,NA,NA,NA,0
43,3,bas,NA,NA,NA,0
43,4,bas,NA,NA,NA,0
44,1,con,60,30,75,80
44,2,con,70,40,70,70
44,3,con,85,80,70,70
44,4,con,85,60,60,35
44,1,noc,70,0,90,80
44,2,noc,80,20,80,80
44,3,noc,85,20,80,70
44,4,noc,90,35,75,70
44,1,bas,NA,NA,NA,80
44,2,bas,NA,NA,NA,60
44,3,bas,NA,NA,NA,60
44,4,bas,NA,NA,NA,60
45,1,con,85,75,70,60
45,2,con,90,85,45,55
45,3,con,90,80,30,60
45,4,con,85,90,15,40
45,1,noc,85,75,60,60
45,2,noc,90,20,80,60
45,3,noc,90,15,20,60
45,4,noc,90,20,80,60
45,1,bas,NA,NA,NA,30
45,2,bas,NA,NA,NA,45
45,3,bas,NA,NA,NA,45
45,4,bas,NA,NA,NA,35
46,1,con,65,40,25,15
46,2,con,45,40,65,20
46,3,con,30,35,65,10
46,4,con,25,30,70,10
46,1,noc,65,40,70,20
46,2,noc,45,15,75,20
46,3,noc,30,30,75,10
46,4,noc,25,30,85,10
46,1,bas,NA,NA,NA,20
46,2,bas,NA,NA,NA,5
46,3,bas,NA,NA,NA,10
46,4,bas,NA,NA,NA,10
47,1,con,55,50,30,30
47,2,con,30,20,20,20
47,3,con,25,15,15,20
47,4,con,20,20,20,10
47,1,noc,50,10,30,40
47,2,noc,35,25,25,20
47,3,noc,25,15,15,20
47,4,noc,20,20,20,10
47,1,bas,NA,NA,NA,10
47,2,bas,NA,NA,NA,10
47,3,bas,NA,NA,NA,15
47,4,bas,NA,NA,NA,10
48,1,con,75,75,70,60
48,2,con,75,35,35,50
48,3,con,70,50,40,40
48,4,con,55,55,40,40
48,1,noc,65,35,35,60
48,2,noc,65,20,25,70
48,3,noc,60,15,75,60
48,4,noc,65,30,65,50
48,1,bas,NA,NA,NA,45
48,2,bas,NA,NA,NA,45
48,3,bas,NA,NA,NA,30
48,4,bas,NA,NA,NA,30
49,1,con,45,40,70,55
49,2,con,55,70,25,60
49,3,con,55,85,25,60
49,4,con,60,30,35,60
49,1,noc,45,50,70,75
49,2,noc,55,15,80,70
49,3,noc,55,0,85,75
49,4,noc,60,0,95,80
49,1,bas,NA,NA,NA,20
49,2,bas,NA,NA,NA,10
49,3,bas,NA,NA,NA,25
49,4,bas,NA,NA,NA,15
50,1,con,65,80,70,40
50,2,con,65,45,70,50
50,3,con,75,45,60,50
50,4,con,75,70,65,50
50,1,noc,75,35,65,35
50,2,noc,70,40,65,50
50,3,noc,70,35,75,50
50,4,noc,75,35,75,55
50,1,bas,NA,NA,NA,35
50,2,bas,NA,NA,NA,50
50,3,bas,NA,NA,NA,50
50,4,bas,NA,NA,NA,50
51,1,con,70,80,20,25
51,2,con,75,65,25,60
51,3,con,20,70,15,10
51,4,con,20,75,25,15
51,1,noc,70,55,35,30
51,2,noc,70,60,30,30
51,3,noc,40,65,30,25
51,4,noc,25,65,40,20
