id,run,version,trial,condition,Stress_duration,total_con_stress_dur,total_noc_stress_dur,rt,Target,First_correct,Feedback,Button_pressed,initial_aversiveness
3,1,5,12,con,6.3671375737,82.28,77.28,867.0643229,1,TRUE,Positive,[1],85
3,1,5,13,noc,4.9169739865,82.28,77.28,916.9377387,1,TRUE,Positive,[1],85
3,1,5,14,noc,5.0162692307,82.28,77.28,NA,2,TRUE,Positive,[],85
3,1,5,15,noc,8.0470319264,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,16,bas,5.0005829858,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,17,con,6.2464961383,82.28,77.28,746.4734834,1,TRUE,Positive,[1],85
3,1,5,18,con,6.450392024,82.28,77.28,950.3161301,2,TRUE,Positive,[2],85
3,1,5,19,bas,5.0002450504,82.28,77.28,NA,1,FALSE,Negative,[],85
3,1,5,20,noc,5.0166184936,82.28,77.28,NA,2,TRUE,Positive,[],85
3,1,5,21,noc,8.0797040516,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,22,con,9.7503714458,82.28,77.28,NA,1,FALSE,Negative,[],85
3,1,5,23,bas,4.8995032916,82.28,77.28,899.4644007,1,TRUE,Positive,[1],85
3,1,5,24,bas,5.0002492038,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,25,noc,7.8167208181,82.28,77.28,816.687591,2,FALSE,Negative,[2],85
3,1,5,26,noc,4.9001519766,82.28,77.28,900.1157287,1,TRUE,Positive,[1],85
3,1,5,27,con,9.2663773134,82.28,77.28,NA,3,FALSE,Negative,[],85
3,1,5,28,noc,4.8997853449,82.28,77.28,899.7487195,2,TRUE,Positive,[2],85
3,1,5,29,bas,4.6676946952,82.28,77.28,667.61276,2,TRUE,Positive,[2],85
3,1,5,30,noc,7.8178762175,82.28,77.28,817.7840876,1,FALSE,Negative,[1],85
3,2,5,1,bas,5.0016371933,80.65,76.22,NA,2,FALSE,Negative,[],0
3,2,5,2,con,9.5004982188,80.65,76.22,NA,1,FALSE,Negative,[],0
3,2,5,3,con,8.0644818544,80.65,76.22,NA,3,FALSE,Negative,[],0
3,2,5,4,con,4.6686156164,80.65,76.22,668.5786134,2,TRUE,Positive,[2],0
3,2,5,5,noc,7.7496925543,80.65,76.22,749.6570616,2,FALSE,Negative,[2],0
3,2,5,6,noc,5.0474461333,80.65,76.22,1047.4257439,1,TRUE,Positive,[1],0
3,2,5,7,con,5.300986054,80.65,76.22,800.909405,3,TRUE,Positive,[3],0
3,2,5,8,con,5.8662058914,80.65,76.22,866.1666229,2,TRUE,Positive,[2],0
3,2,5,9,bas,4.984515006,80.65,76.22,984.4191003,3,TRUE,Positive,[3],0
3,2,5,10,con,6.2500926018,80.65,76.22,750.0623953,2,TRUE,Positive,[2],0
3,2,5,11,noc,4.8679163355,80.65,76.22,867.8287366,3,TRUE,Positive,[3],0
3,2,5,12,noc,7.8828564794,80.65,76.22,882.8213643,1,FALSE,Negative,[1],0
3,2,5,13,bas,4.8998653922,80.65,76.22,899.8265013,3,TRUE,Positive,[3],0
3,2,5,14,noc,4.7496283654,80.65,76.22,749.5943831,1,TRUE,Positive,[1],0
3,2,5,15,noc,7.9470619441,80.65,76.22,947.040422,2,FALSE,Negative,[2],0
3,2,5,16,bas,4.8662953782,80.65,76.22,866.2512012,2,TRUE,Positive,[2],0
